device,Rsq,fluxType,plot,site,plotID,elevation,aspect,date_time,fluxValue,year,date,day_night
LI8100,0.968383427290929,SoilEvap,5,5,2800west5,2800,west,2023-12-09T15:04:13Z,-0.0172741146681648,2023,2023-12-09,day
LI8100,0.742758699159091,SoilEvap,4,5,2800west4,2800,west,2023-12-09T14:56:49Z,-0.00639627821847782,2023,2023-12-09,day
LI8100,0.988530520188228,SoilEvap,3,5,2800west3,2800,west,2023-12-09T14:49:06Z,-0.0227439703977211,2023,2023-12-09,day
LI8100,0.92447004643803,SoilEvap,2,5,2800west2,2800,west,2023-12-09T14:41:43Z,-0.0103327988844388,2023,2023-12-09,day
LI8100,0.980771043410239,SoilEvap,1,5,2800west1,2800,west,2023-12-09T14:34:19Z,-0.0201070706873712,2023,2023-12-09,day
LI8100,0.943880168688282,SoilEvap,5,5,2800east5,2800,east,2023-12-09T14:21:41Z,-0.00738233951464485,2023,2023-12-09,day
LI8100,0.996934235869905,SoilEvap,4,5,2800east4,2800,east,2023-12-09T14:14:17Z,-0.0178537519400828,2023,2023-12-09,day
LI8100,0.976466744266032,SoilEvap,3,5,2800east3,2800,east,2023-12-09T14:06:53Z,-0.0121027158925209,2023,2023-12-09,day
LI8100,0.987724172989088,SoilEvap,2,5,2800east2,2800,east,2023-12-09T13:59:27Z,-0.0162242097674327,2023,2023-12-09,day
LI8100,0.973103708797097,SoilEvap,1,5,2800east1,2800,east,2023-12-09T13:52:03Z,-0.00890357502102561,2023,2023-12-09,day
LI8100,0.947522352512807,SoilEvap,5,4,2600west5,2600,west,2023-12-14T13:37:35Z,-0.00268974267207418,2023,2023-12-14,day
LI8100,0.996965737056077,SoilEvap,4,4,2600west4,2600,west,2023-12-14T13:30:11Z,-0.00731943900348092,2023,2023-12-14,day
LI8100,0.980221084929047,SoilEvap,3,4,2600west3,2600,west,2023-12-14T13:22:47Z,-0.00528529108604215,2023,2023-12-14,day
LI8100,0.965393381442278,SoilEvap,2,4,2600west2,2600,west,2023-12-14T13:15:24Z,-0.00474428316920131,2023,2023-12-14,day
LI8100,0.99917580214049,SoilEvap,1,4,2600west1,2600,west,2023-12-14T13:08:00Z,-0.0129643544885714,2023,2023-12-14,day
LI8100,0.150662425895096,SoilEvap,5,4,2600east5,2600,east,2023-12-14T13:44:29Z,0.000212663277245137,2023,2023-12-14,day
LI8100,0.980910603740734,SoilEvap,4,4,2600east4,2600,east,2023-12-14T13:37:05Z,-0.00298574812323978,2023,2023-12-14,day
LI8100,0.847928170427652,SoilEvap,3,4,2600east3,2600,east,2023-12-14T13:29:41Z,0.00159192744771635,2023,2023-12-14,day
LI8100,0.9742329516848,SoilEvap,2,4,2600east2,2600,east,2023-12-14T13:22:18Z,0.00288970632981098,2023,2023-12-14,day
LI8100,0.998070214776395,SoilEvap,1,4,2600east1,2600,east,2023-12-14T13:14:54Z,0.00705665816197025,2023,2023-12-14,day
LI8100,0.999087872313202,SoilEvap,5,3,2400west5,2400,west,,-0.0184633340441426,1970,,day
LI8100,0.997903585833349,SoilEvap,4,3,2400west4,2400,west,,-0.0185233713149245,1970,,day
LI8100,0.982488639444707,SoilEvap,3,3,2400west3,2400,west,,-0.00881098168126798,1970,,day
LI8100,0.997254195387877,SoilEvap,2,3,2400west2,2400,west,,-0.0244128160916116,1970,,day
LI8100,0.998627814988394,SoilEvap,1,3,2400west1,2400,west,,-0.0171353675574256,1970,,day
LI8100,0.992821220814239,SoilEvap,5,3,2400east5,2400,east,2023-12-09T11:29:50Z,-0.00654889403251933,2023,2023-12-09,day
LI8100,0.983521089105557,SoilEvap,4,3,2400east4,2400,east,2023-12-09T11:22:27Z,-0.00504089351451166,2023,2023-12-09,day
LI8100,0.997351610249065,SoilEvap,3,3,2400east3,2400,east,2023-12-09T11:15:03Z,0.0157087976154484,2023,2023-12-09,day
LI8100,0.999291558153925,SoilEvap,2,3,2400east2,2400,east,2023-12-09T11:07:39Z,0.0211319051761628,2023,2023-12-09,day
LI8100,0.999497236845238,SoilEvap,1,3,2400east1,2400,east,2023-12-09T11:00:14Z,0.0240390095265845,2023,2023-12-09,day
LI8100,0.99461459802524,SoilEvap,5,2,2200west5,2200,west,,-0.00697824925311051,1970,,day
LI8100,0.800807542089669,SoilEvap,4,2,2200west4,2200,west,,-0.00115728633461254,1970,,day
LI8100,0.985898737973484,SoilEvap,3,2,2200west3,2200,west,,-0.00370362794430889,1970,,day
LI8100,0.989386545645758,SoilEvap,2,2,2200west2,2200,west,,-0.00667911813782864,1970,,day
LI8100,0.892392365037096,SoilEvap,1,2,2200west1,2200,west,,0.00146529165649727,1970,,day
LI8100,0.993830899544805,SoilEvap,5,2,2200east5,2200,east,,-0.0215559625994741,2009,,day
LI8100,0.993974209109576,SoilEvap,4,2,2200east4,2200,east,,-0.0138935769728724,2009,,day
LI8100,0.994963067182077,SoilEvap,3,2,2200east3,2200,east,,-0.00869161551965654,2009,,day
LI8100,0.92557665201672,SoilEvap,2,2,2200east2,2200,east,,-0.00157332169917725,2009,,day
LI8100,0.90828524045028,SoilEvap,1,2,2200east1,2200,east,,-0.00210573343420414,2009,,day
LI8100,0.196884069811447,SoilEvap,5,1,2000west5,2000,west,2023-12-08T16:09:17Z,-0.000727708692630555,2023,2023-12-08,day
LI8100,0.980206734115218,SoilEvap,4,1,2000west4,2000,west,2023-12-08T16:01:54Z,-0.00998097984422764,2023,2023-12-08,day
LI8100,0.970347533913093,SoilEvap,3,1,2000west3,2000,west,2023-12-08T15:54:31Z,-0.00815939846561269,2023,2023-12-08,day
LI8100,0.677639298316134,SoilEvap,2,1,2000west2,2000,west,2023-12-08T15:47:09Z,-0.00340458812211326,2023,2023-12-08,day
LI8100,0.893533016769013,SoilEvap,1,1,2000west1,2000,west,2023-12-08T15:39:45Z,0.00381287225794649,2023,2023-12-08,day
LI8100,0.982276017007056,SoilEvap,5,1,2000east5,2000,east,2023-12-08T16:56:20Z,-0.0046120275059728,2023,2023-12-08,day
LI8100,0.868080645168667,SoilEvap,4,1,2000east4,2000,east,2023-12-08T16:48:57Z,-0.00246344824935802,2023,2023-12-08,day
LI8100,0.963072389975905,SoilEvap,3,1,2000east3,2000,east,2023-12-08T16:41:34Z,-0.00617934189858053,2023,2023-12-08,day
LI8100,0.00018040201783084,SoilEvap,2,1,2000east2,2000,east,2023-12-08T16:34:11Z,1.24990001457267e-05,2023,2023-12-08,day
LI8100,0.963908252687007,SoilEvap,1,1,2000east1,2000,east,2023-12-08T16:26:47Z,-0.00520928607793671,2023,2023-12-08,day
LI8100,0.985005889714922,SoilResp,5,5,2800west5,2800,west,2023-12-09T15:04:13Z,0.971226446986958,2023,2023-12-09,day
LI8100,0.993796321137489,SoilResp,4,5,2800west4,2800,west,2023-12-09T14:56:49Z,3.00407627367103,2023,2023-12-09,day
LI8100,0.992449632861111,SoilResp,3,5,2800west3,2800,west,2023-12-09T14:49:06Z,1.5231269196796,2023,2023-12-09,day
LI8100,0.991615642744599,SoilResp,2,5,2800west2,2800,west,2023-12-09T14:41:43Z,1.46233802025642,2023,2023-12-09,day
LI8100,0.992402066624217,SoilResp,1,5,2800west1,2800,west,2023-12-09T14:34:19Z,1.19767709959173,2023,2023-12-09,day
LI8100,0.989094724541726,SoilResp,5,5,2800east5,2800,east,2023-12-09T14:21:41Z,0.740615067655109,2023,2023-12-09,day
LI8100,0.995468278221315,SoilResp,4,5,2800east4,2800,east,2023-12-09T14:14:17Z,0.762900427701872,2023,2023-12-09,day
LI8100,0.989591555265963,SoilResp,3,5,2800east3,2800,east,2023-12-09T14:06:53Z,1.01270432074769,2023,2023-12-09,day
LI8100,0.992216664585254,SoilResp,2,5,2800east2,2800,east,2023-12-09T13:59:27Z,1.30492028591898,2023,2023-12-09,day
LI8100,0.991459418695082,SoilResp,1,5,2800east1,2800,east,2023-12-09T13:52:03Z,1.45640539351758,2023,2023-12-09,day
LI8100,0.981890344678993,SoilResp,5,4,2600west5,2600,west,2023-12-14T13:37:35Z,0.708655921493805,2023,2023-12-14,day
LI8100,0.97744235303523,SoilResp,4,4,2600west4,2600,west,2023-12-14T13:30:11Z,0.311862962009984,2023,2023-12-14,day
LI8100,0.990206760394473,SoilResp,3,4,2600west3,2600,west,2023-12-14T13:22:47Z,0.559442555190331,2023,2023-12-14,day
LI8100,0.989381966598267,SoilResp,2,4,2600west2,2600,west,2023-12-14T13:15:24Z,0.293616354514056,2023,2023-12-14,day
LI8100,0.991488114975169,SoilResp,1,4,2600west1,2600,west,2023-12-14T13:08:00Z,0.318106514389066,2023,2023-12-14,day
LI8100,0.991458426808256,SoilResp,5,4,2600east5,2600,east,2023-12-14T13:44:29Z,0.83559474313848,2023,2023-12-14,day
LI8100,0.995664699481957,SoilResp,4,4,2600east4,2600,east,2023-12-14T13:37:05Z,0.80949874412781,2023,2023-12-14,day
LI8100,0.992299612532284,SoilResp,3,4,2600east3,2600,east,2023-12-14T13:29:41Z,0.398799707236839,2023,2023-12-14,day
LI8100,0.989399041792873,SoilResp,2,4,2600east2,2600,east,2023-12-14T13:22:18Z,1.16602198760236,2023,2023-12-14,day
LI8100,0.947463903445703,SoilResp,1,4,2600east1,2600,east,2023-12-14T13:14:54Z,0.378213785572747,2023,2023-12-14,day
LI8100,0.992121890336653,SoilResp,5,3,2400west5,2400,west,,0.967993236941923,1970,,day
LI8100,0.993288609745213,SoilResp,4,3,2400west4,2400,west,,1.25662670840564,1970,,day
LI8100,0.99396729383067,SoilResp,3,3,2400west3,2400,west,,1.36429397071835,1970,,day
LI8100,0.992961014104765,SoilResp,2,3,2400west2,2400,west,,1.63918761010873,1970,,day
LI8100,0.993431556850237,SoilResp,1,3,2400west1,2400,west,,2.05308894772806,1970,,day
LI8100,0.991699628852661,SoilResp,5,3,2400east5,2400,east,2023-12-09T11:29:50Z,1.29045693589449,2023,2023-12-09,day
LI8100,0.994981985448458,SoilResp,4,3,2400east4,2400,east,2023-12-09T11:22:27Z,1.10976727929196,2023,2023-12-09,day
LI8100,0.995625950423763,SoilResp,3,3,2400east3,2400,east,2023-12-09T11:15:03Z,1.1707615989411,2023,2023-12-09,day
LI8100,0.992899776246345,SoilResp,2,3,2400east2,2400,east,2023-12-09T11:07:39Z,1.2474884972141,2023,2023-12-09,day
LI8100,0.996077391592806,SoilResp,1,3,2400east1,2400,east,2023-12-09T11:00:14Z,1.46334990070644,2023,2023-12-09,day
LI8100,0.98985524627442,SoilResp,5,2,2200west5,2200,west,,1.44579652268656,1970,,day
LI8100,0.987699825371769,SoilResp,4,2,2200west4,2200,west,,0.797750274075575,1970,,day
LI8100,0.995440800456573,SoilResp,3,2,2200west3,2200,west,,0.771407418328568,1970,,day
LI8100,0.993268908577416,SoilResp,2,2,2200west2,2200,west,,0.946056610402979,1970,,day
LI8100,0.986175133355739,SoilResp,1,2,2200west1,2200,west,,1.21328616299734,1970,,day
LI8100,0.99266881056783,SoilResp,5,2,2200east5,2200,east,,1.5385719826595,2009,,day
LI8100,0.992107783077236,SoilResp,4,2,2200east4,2200,east,,1.55249112883402,2009,,day
LI8100,0.988828354150528,SoilResp,3,2,2200east3,2200,east,,1.16331317673617,2009,,day
LI8100,0.989071483572376,SoilResp,2,2,2200east2,2200,east,,1.58224573061639,2009,,day
LI8100,0.99086733479898,SoilResp,1,2,2200east1,2200,east,,1.22202109020394,2009,,day
LI8100,0.988119709717168,SoilResp,5,1,2000west5,2000,west,2023-12-08T16:09:17Z,1.05733214509475,2023,2023-12-08,day
LI8100,0.990855788615809,SoilResp,4,1,2000west4,2000,west,2023-12-08T16:01:54Z,1.1097788138754,2023,2023-12-08,day
LI8100,0.985802696422689,SoilResp,3,1,2000west3,2000,west,2023-12-08T15:54:31Z,1.18130822447782,2023,2023-12-08,day
LI8100,0.99570269725038,SoilResp,2,1,2000west2,2000,west,2023-12-08T15:47:09Z,0.656066317062602,2023,2023-12-08,day
LI8100,0.980896213323772,SoilResp,1,1,2000west1,2000,west,2023-12-08T15:39:45Z,1.62633022208121,2023,2023-12-08,day
LI8100,0.971814545486025,SoilResp,5,1,2000east5,2000,east,2023-12-08T16:56:20Z,0.361361208348053,2023,2023-12-08,day
LI8100,0.970418530011274,SoilResp,4,1,2000east4,2000,east,2023-12-08T16:48:57Z,0.374717697942894,2023,2023-12-08,day
LI8100,0.99016555284304,SoilResp,3,1,2000east3,2000,east,2023-12-08T16:41:34Z,0.706402200933725,2023,2023-12-08,day
LI8100,0.980815941112163,SoilResp,2,1,2000east2,2000,east,2023-12-08T16:34:11Z,0.667056395093938,2023,2023-12-08,day
LI8100,0.980700826551529,SoilResp,1,1,2000east1,2000,east,2023-12-08T16:26:47Z,0.793559573930786,2023,2023-12-08,day
